s,p,o
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_34631,nmo:hasIssuer,ex:issuer_119
ex:coin_34631,nmo:hasIssuer,ex:uncertain
ex:coin_34631,nmo:hasPortrait,ex:person_29
ex:coin_34631,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_34632,nmo:hasIssuer,ex:issuer_119
ex:coin_34632,nmo:hasIssuer,ex:uncertain
ex:coin_34632,nmo:hasPortrait,ex:person_29
ex:coin_34632,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_34633,nmo:hasIssuer,ex:issuer_119
ex:coin_34633,nmo:hasIssuer,ex:uncertain
ex:coin_34633,nmo:hasPortrait,ex:person_29
ex:coin_34633,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_34634,nmo:hasIssuer,ex:issuer_119
ex:coin_34634,nmo:hasIssuer,ex:uncertain
ex:coin_34634,nmo:hasPortrait,ex:person_29
ex:coin_34634,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_34635,nmo:hasIssuer,ex:issuer_119
ex:coin_34635,nmo:hasIssuer,ex:uncertain
ex:coin_34635,nmo:hasPortrait,ex:person_29
ex:coin_34635,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_40667,nmo:hasIssuer,ex:issuer_119
ex:coin_40667,nmo:hasIssuer,ex:uncertain
ex:coin_40667,nmo:hasPortrait,ex:person_29
ex:coin_40667,nmo:hasPortrait,ex:uncertain
ex:person_29,ex:hasPossibleIssuers,ex:issuer_119
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_40677,nmo:hasIssuer,ex:issuer_119
